age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,income
3,Self-emp-inc,Doctorate,16,Separated,Prof-specialty,Not-in-family,White,Male,0,0,1,United-States,<=50K
2,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,4,United-States,>50K
2,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,1,United-States,<=50K
1,Private,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,<=50K
0,State-gov,5th-6th,3,Never-married,Transport-moving,Not-in-family,White,Male,0,0,1,United-States,<=50K
0,Private,10th,6,Separated,Machine-op-inspct,Own-child,White,Male,0,0,2,United-States,<=50K
2,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,1,United-States,<=50K
3,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,>50K
0,,Some-college,10,Never-married,,Own-child,White,Male,0,0,0,United-States,<=50K
3,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,4,United-States,<=50K
4,Private,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,3,United-States,<=50K
3,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,>50K
1,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,4,United-States,<=50K
1,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
0,,11th,7,Never-married,,Own-child,Amer-Indian-Eskimo,Male,0,0,2,United-States,<=50K
1,Local-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,1,United-States,<=50K
0,Private,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,0,1,United-States,<=50K
2,Self-emp-not-inc,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,>50K
2,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,4,0,2,United-States,>50K
3,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,>50K
0,Private,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
1,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,3,United-States,<=50K
4,Private,Bachelors,13,Divorced,Other-service,Not-in-family,White,Female,0,0,1,United-States,<=50K
1,Private,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Private,12th,8,Widowed,Sales,Unmarried,White,Female,0,0,2,United-States,<=50K
4,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
0,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,2,United-States,<=50K
3,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,>50K
0,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,3,United-States,<=50K
1,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,>50K
1,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,0,0,3,United-States,<=50K
1,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Female,0,0,3,United-States,>50K
2,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,2,United-States,<=50K
0,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,3,United-States,<=50K
0,Private,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,0,0,3,United-States,<=50K
0,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,<=50K
3,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,2,United-States,>50K
4,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
2,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,5th-6th,3,Never-married,Other-service,Other-relative,White,Male,0,0,2,Mexico,<=50K
0,Private,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,1,Jamaica,<=50K
0,State-gov,Some-college,10,Never-married,Other-service,Other-relative,Black,Male,0,0,2,Haiti,<=50K
2,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,3,United-States,<=50K
2,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,2,United-States,>50K
1,Private,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,0,0,1,United-States,<=50K
3,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,3,United-States,<=50K
1,,5th-6th,3,Married-civ-spouse,,Wife,White,Female,0,0,2,United-States,<=50K
1,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,<=50K
4,,Some-college,10,Divorced,,Other-relative,White,Female,0,0,1,United-States,<=50K
3,Local-gov,Some-college,10,Married-spouse-absent,Craft-repair,Other-relative,White,Male,0,0,2,United-States,<=50K
0,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0,0,2,United-States,<=50K
3,Local-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,2,United-States,<=50K
2,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,4,United-States,<=50K
3,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,1,2,United-States,<=50K
1,Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,2,2,United-States,<=50K
1,Private,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Female,0,0,2,United-States,<=50K
3,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2,4,Germany,>50K
2,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,3,United-States,>50K
2,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,>50K
2,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,1,United-States,>50K
0,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,0,United-States,<=50K
2,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,<=50K
1,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,Germany,<=50K
2,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,3,United-States,>50K
1,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
3,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
1,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,3,United-States,<=50K
2,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
3,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
2,Private,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,2,United-States,>50K
1,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,0,0,3,Taiwan,<=50K
2,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,4,0,2,United-States,>50K
2,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,<=50K
0,Private,1st-4th,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,4,Mexico,<=50K
1,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,Private,HS-grad,9,Never-married,Sales,Own-child,Black,Female,0,0,0,United-States,<=50K
0,Private,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,2,United-States,<=50K
4,,5th-6th,3,Married-civ-spouse,,Husband,White,Male,0,0,0,United-States,<=50K
1,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,3,United-States,<=50K
0,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,1,United-States,<=50K
3,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,>50K
4,Private,HS-grad,9,Divorced,Priv-house-serv,Unmarried,Black,Female,0,0,4,United-States,<=50K
3,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,>50K
0,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
2,Federal-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,,Some-college,10,Married-civ-spouse,,Wife,White,Female,0,0,2,United-States,<=50K
2,Self-emp-inc,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,,<=50K
0,Private,Some-college,10,Never-married,Other-service,Other-relative,White,Female,0,0,0,United-States,<=50K
2,Private,11th,7,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,2,United-States,<=50K
0,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,Puerto-Rico,<=50K
1,Self-emp-not-inc,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,3,United-States,<=50K
4,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,<=50K
1,Local-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,<=50K
1,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,2,United-States,<=50K
3,Local-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,>50K
0,,Some-college,10,Never-married,,Own-child,White,Female,0,0,1,United-States,<=50K
2,Private,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
2,Private,12th,8,Married-civ-spouse,Transport-moving,Husband,White,Male,4,0,4,United-States,>50K
3,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,4,2,,<=50K
3,Self-emp-not-inc,Bachelors,13,Divorced,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,3,South,>50K
0,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,<=50K
1,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,2,Scotland,<=50K
0,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Own-child,White,Male,0,0,1,United-States,<=50K
2,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Male,0,0,2,United-States,<=50K
1,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,0,0,2,Philippines,<=50K
2,Federal-gov,Some-college,10,Separated,Adm-clerical,Unmarried,Black,Female,2,0,3,United-States,<=50K
1,Private,Some-college,10,Never-married,Exec-managerial,Unmarried,Black,Female,0,0,1,United-States,<=50K
1,Private,11th,7,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
0,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
1,Self-emp-inc,Masters,14,Never-married,Transport-moving,Own-child,White,Male,0,0,2,United-States,<=50K
2,Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,2,United-States,<=50K
1,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,1,United-States,<=50K
1,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,0,United-States,<=50K
3,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,3,United-States,<=50K
3,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,>50K
0,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,1,United-States,<=50K
0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,Preschool,1,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,3,Mexico,<=50K
1,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,1,United-States,<=50K
1,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,1,United-States,<=50K
2,Private,Assoc-voc,11,Separated,Other-service,Not-in-family,White,Male,0,0,2,United-States,<=50K
3,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,3,United-States,<=50K
0,,Some-college,10,Never-married,,Own-child,White,Female,0,0,0,United-States,<=50K
0,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,10th,6,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,1,United-States,<=50K
3,Local-gov,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,1,United-States,>50K
0,,Some-college,10,Never-married,,Not-in-family,White,Female,0,0,0,United-States,<=50K
3,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,1,United-States,>50K
2,Private,HS-grad,9,Separated,Exec-managerial,Not-in-family,White,Male,4,0,2,United-States,>50K
4,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,<=50K
0,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,1,United-States,<=50K
3,Federal-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,2,United-States,>50K
3,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,3,1,United-States,>50K
0,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,1,United-States,<=50K
2,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,4,0,3,United-States,>50K
1,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,2,United-States,<=50K
3,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,2,United-States,<=50K
0,Private,HS-grad,9,Never-married,Prof-specialty,Other-relative,White,Female,0,0,2,United-States,<=50K
2,Local-gov,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
4,Private,Bachelors,13,Widowed,Other-service,Not-in-family,White,Female,0,0,2,United-States,<=50K
2,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,2,0,2,United-States,<=50K
4,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,2,0,3,United-States,>50K
1,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,1,Ireland,<=50K
4,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,>50K
3,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,1,United-States,<=50K
2,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,>50K
3,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,Bachelors,13,Never-married,Prof-specialty,Other-relative,White,Male,0,0,2,United-States,<=50K
2,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
0,Private,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,0,United-States,<=50K
0,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
4,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,0,United-States,<=50K
4,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,United-States,<=50K
4,Self-emp-inc,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,4,0,2,United-States,>50K
3,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,1,0,1,United-States,>50K
4,Local-gov,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,1,United-States,<=50K
3,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,2,United-States,<=50K
2,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,>50K
2,Self-emp-inc,Some-college,10,Divorced,Sales,Own-child,White,Male,0,0,2,United-States,>50K
3,Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,2,United-States,<=50K
2,Local-gov,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,2,0,1,United-States,<=50K
2,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
3,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
2,Federal-gov,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,2,United-States,<=50K
1,Private,10th,6,Widowed,Other-service,Not-in-family,Black,Female,0,3,2,United-States,<=50K
1,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,<=50K
4,Private,Assoc-voc,11,Widowed,Craft-repair,Not-in-family,White,Female,0,0,1,United-States,<=50K
3,Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,4,0,2,United-States,>50K
1,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,>50K
1,State-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,2,0,3,United-States,>50K
4,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,<=50K
1,Private,9th,5,Never-married,Craft-repair,Own-child,White,Male,0,0,2,United-States,<=50K
2,Private,10th,6,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,0,2,Vietnam,<=50K
2,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2,0,2,United-States,>50K
0,Private,Bachelors,13,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
3,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
2,Private,5th-6th,3,Separated,Adm-clerical,Other-relative,White,Male,0,0,2,El-Salvador,<=50K
1,Private,Assoc-voc,11,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,<=50K
3,,10th,6,Married-civ-spouse,,Wife,White,Female,0,0,0,Cuba,<=50K
3,Federal-gov,Bachelors,13,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,0,0,2,United-States,<=50K
1,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,4,0,3,United-States,>50K
3,Private,11th,7,Married-civ-spouse,Other-service,Husband,Black,Male,3,0,2,United-States,>50K
0,Federal-gov,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,2,United-States,<=50K
3,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,,<=50K
1,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,2,United-States,<=50K
1,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K
1,Self-emp-not-inc,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,2,United-States,>50K
1,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,0,England,>50K
1,Private,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,2,United-States,<=50K
3,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,2,United-States,>50K
1,State-gov,HS-grad,9,Separated,Adm-clerical,Unmarried,Black,Female,0,0,2,United-States,<=50K
0,Private,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
1,Local-gov,Masters,14,Never-married,Prof-specialty,Own-child,Black,Female,0,0,2,United-States,<=50K
1,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
1,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,2,0,2,El-Salvador,<=50K
1,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,2,,<=50K
1,Private,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,2,United-States,>50K
1,Private,HS-grad,9,Separated,Handlers-cleaners,Not-in-family,White,Female,0,0,2,United-States,<=50K
3,Federal-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,<=50K
2,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,2,Ireland,<=50K
3,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
3,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,>50K
2,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,,>50K
2,Private,7th-8th,4,Separated,Farming-fishing,Not-in-family,Black,Male,0,0,2,United-States,<=50K
0,Private,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,0,United-States,<=50K
2,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
4,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,>50K
3,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,1,United-States,<=50K
2,Private,HS-grad,9,Divorced,Other-service,Other-relative,Black,Female,0,0,1,United-States,<=50K
0,State-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Self-emp-not-inc,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,1,United-States,<=50K
4,Private,5th-6th,3,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,3,1,United-States,>50K
1,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,Cuba,<=50K
1,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,3,United-States,<=50K
1,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,0,United-States,<=50K
4,,1st-4th,2,Married-civ-spouse,,Husband,Black,Male,0,0,2,United-States,<=50K
2,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,2,Japan,<=50K
1,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,2,United-States,<=50K
4,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,11th,7,Never-married,Other-service,Not-in-family,White,Male,0,0,4,United-States,<=50K
1,Private,9th,5,Never-married,Handlers-cleaners,Own-child,Black,Female,0,0,1,United-States,<=50K
0,Private,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,2,United-States,<=50K
1,Private,Assoc-voc,11,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,0,2,Philippines,<=50K
2,State-gov,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0,0,1,United-States,<=50K
2,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,2,United-States,>50K
2,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
2,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
0,Private,Some-college,10,Never-married,Exec-managerial,Own-child,Black,Male,0,0,1,United-States,<=50K
4,Private,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,White,Male,0,0,3,United-States,<=50K
2,Private,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,2,United-States,>50K
1,,Bachelors,13,Married-civ-spouse,,Wife,White,Female,0,0,0,United-States,<=50K
