Age Bin,Sensitive,Sex,Study Area,Study Title,Sector,Job Family Hiring,Job Title Hiring,Technical Skills,Comunication,Maturity,Dynamism,Mobility,English,European Residence,Italian Residence,Status
> 45 ,Male > 45 Non-Italian,Male,Engineering,Three-year degree,Oil and Gas,Not Specified,Not Specified,3,2,3,3,3,3,Yes,No,Negative
> 45 ,Male > 45 Non-Italian,Male,Other,Professional qualification,Oil and Gas,Not Specified,Not Specified,2,2,3,2,3,3,Yes,No,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,3,3,3,3,3,3,Yes,Yes,Positive
> 45 ,Male > 45 Non-Italian,Male,Engineering,Three-year degree,Oil and Gas,Not Specified,Not Specified,3,2,3,3,3,3,Yes,No,Negative
> 45 ,Male > 45 Non-Italian,Male,Engineering,Three-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,No,Negative
> 45 ,Male > 45 Italian,Male,Engineering,master's degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
> 45 ,Male > 45 Italian,Male,Other,High school graduation,Oil and Gas,Not Specified,Not Specified,3,2,3,3,3,3,Yes,Yes,Negative
> 45 ,Male > 45 Non-Italian,Male,Engineering,Professional qualification,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,No,Positive
> 45 ,Male > 45 Non-Italian,Male,Engineering,Three-year degree,Oil and Gas,Not Specified,Not Specified,3,2,2,2,3,3,Yes,No,Positive
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,3,3,3,2,3,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Energy,Not Specified,Not Specified,1,1,1,1,3,1,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Non-Italian,Male,Other Humanities Subjects,master's degree,Others,Not Specified,Not Specified,2,1,3,1,2,3,No,No,Negative
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Doctorate,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Informatics,Three-year degree,Others,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Services and Information Systems,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,3,3,3,2,2,3,Yes,Yes,Positive
< 20 ,Female < 20 Non-Italian,Female,Engineering,master's degree,Automotive,Not Specified,Not Specified,2,2,3,3,3,3,Yes,No,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Services and Information Systems,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Doctorate,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Automotive,Engineering,Junior Consultant,3,3,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,3,2,2,2,3,Yes,Yes,Positive
< 20 ,Male < 20 Non-Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,No,No,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Other,High school graduation,Others,Enabling Function,Support Advanced,2,2,2,2,2,3,Yes,Yes,Positive
> 45 ,Male > 45 Italian,Male,Other,High school graduation,Oil and Gas,Not Specified,Not Specified,2,2,2,2,4,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Machining - Heavy Industry,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,3,3,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Tech Consulting & Solutions,Consultant,2,2,2,2,1,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Consulting,Not Specified,Not Specified,2,1,2,1,2,3,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,1,2,2,3,2,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,1,1,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,3,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Life sciences,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,3,2,3,3,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,3,3,3,2,2,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,3,2,1,1,1,2,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Unemployed,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,1,1,2,1,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,3,3,3,3,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Other,High school graduation,Others,Engineering,Consultant,3,2,3,2,3,3,Yes,Yes,Positive
40 - 45 ,Male 40 - 45 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,1,1,1,1,Yes,Yes,Negative
> 45 ,Male > 45 Italian,Male,Other,Professional qualification,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Doctorate,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Doctorate,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
> 45 ,Male > 45 Non-Italian,Male,Other,Professional qualification,Oil and Gas,Not Specified,Not Specified,3,3,3,2,3,3,Yes,No,Negative
> 45 ,Male > 45 Non-Italian,Male,Other,Professional qualification,Oil and Gas,Not Specified,Not Specified,2,2,3,3,3,3,Yes,No,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
> 45 ,Male > 45 Italian,Male,Engineering,Three-year degree,Services and Information Systems,Not Specified,Not Specified,3,3,3,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Non-Italian,Male,Engineering,Three-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,No,No,Positive
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Space,Not Specified,Not Specified,2,2,2,2,3,2,Yes,Yes,Positive
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Economic,Three-year degree,Others,Support,Support,1,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,NO COLLEGE,High school graduation,Others,Not Specified,Not Specified,1,1,1,1,1,1,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
> 45 ,Male > 45 Italian,Male,Other,High school graduation,Services and Information Systems,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Services and Information Systems,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Energy,Not Specified,Not Specified,2,2,2,3,3,2,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Informatics,Three-year degree,Consulting,Not Specified,Not Specified,2,3,3,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
> 45 ,Male > 45 Non-Italian,Male,Economic,Five-year degree,Energy,Not Specified,Not Specified,3,2,3,3,3,3,No,No,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Other,master's degree,Oil and Gas,Engineering,Consultant,3,2,2,3,2,3,Yes,Yes,Positive
36 - 40 ,Female 36 - 40 Italian,Female,Linguistics,Five-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
40 - 45 ,Male 40 - 45 Italian,Male,Engineering,Five-year degree,Railway,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Other,High school graduation,Oil and Gas,Not Specified,Not Specified,2,2,3,2,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,NO COLLEGE,High school graduation,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Other Humanities Subjects,Five-year degree,Oil and Gas,Not Specified,Not Specified,3,2,2,2,3,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Three-year degree,Automotive,Not Specified,Not Specified,3,2,2,2,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Doctorate,Others,Not Specified,Not Specified,2,3,3,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,3,2,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,1,2,2,2,3,2,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Consulting,Engineering,Junior Consultant,3,3,3,3,3,3,Yes,Yes,Positive
< 20 ,Male < 20 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
> 45 ,Male > 45 Italian,Male,Engineering,Five-year degree,Life sciences,Engineering,Qualified Consultant,3,3,3,3,3,3,Yes,Yes,Positive
> 45 ,Male > 45 Italian,Male,Other,Middle school diploma,Others,Support,Support,1,1,2,2,2,3,Yes,Yes,Positive
40 - 45 ,Male 40 - 45 Italian,Male,Engineering,Three-year degree,Automotive,Not Specified,Not Specified,3,3,2,2,1,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Scientific Field,Doctorate,Others,Not Specified,Not Specified,2,3,3,3,3,4,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,NO COLLEGE,High school graduation,Consulting,Not Specified,Not Specified,2,2,3,2,1,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Three-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Three-year degree,Consulting,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Other Humanities Subjects,High school graduation,Others,Support,Support,2,3,2,2,2,3,Yes,Yes,Positive
36 - 40 ,Male 36 - 40 Italian,Male,Scientific Field,Five-year degree,Life sciences,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
> 45 ,Male > 45 Italian,Male,Engineering,Five-year degree,Machining - Heavy Industry,Not Specified,Not Specified,3,3,3,2,3,3,Yes,Yes,Negative
20 - 25 ,Female 20 - 25 Italian,Female,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,3,2,2,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Telecom,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
20 - 25 ,Male 20 - 25 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,1,2,1,3,Yes,Yes,Negative
20 - 25 ,Male 20 - 25 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
20 - 25 ,Male 20 - 25 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Railway,Not Specified,Not Specified,2,3,3,3,2,2,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,1,1,1,2,1,1,Yes,Yes,Negative
20 - 25 ,Male 20 - 25 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,3,3,2,1,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Services and Information Systems,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,3,3,3,2,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,1,2,1,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,1,2,2,2,3,2,Yes,Yes,Negative
20 - 25 ,Male 20 - 25 Italian,Male,Engineering,Five-year degree,Automotive,Tech Consulting & Solutions,Consultant,2,1,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Scientific Field,Five-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Energy,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Positive
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,3,3,3,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,3,3,2,2,3,Yes,Yes,Negative
40 - 45 ,Male 40 - 45 Italian,Male,Engineering,Five-year degree,Railway,Not Specified,Not Specified,3,2,3,2,2,2,Yes,Yes,Negative
40 - 45 ,Male 40 - 45 Italian,Male,Engineering,Five-year degree,Railway,Not Specified,Not Specified,2,1,2,1,1,2,Yes,Yes,Negative
> 45 ,Male > 45 Italian,Male,Scientific Field,master's degree,Services and Information Systems,Not Specified,Not Specified,1,1,1,1,1,1,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Railway,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
20 - 25 ,Male 20 - 25 Italian,Male,Informatics,High school graduation,Others,Not Specified,Not Specified,1,2,1,2,2,2,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,3,2,2,2,1,3,Yes,Yes,Negative
> 45 ,Female > 45 Italian,Female,Scientific Field,Three-year degree,Railway,Not Specified,Not Specified,1,2,2,1,1,2,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Informatics,Five-year degree,Space,Not Specified,Not Specified,4,3,3,2,2,2,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,3,3,2,2,3,Yes,Yes,Positive
< 20 ,Female < 20 Italian,Female,Engineering,Five-year degree,Telecom,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Other,High school graduation,Others,Not Specified,Not Specified,1,2,3,3,1,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Scientific Field,Five-year degree,Others,Not Specified,Not Specified,3,3,3,3,3,3,Yes,Yes,Positive
20 - 25 ,Female 20 - 25 Italian,Female,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,3,2,2,2,2,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,3,2,3,2,2,3,Yes,Yes,Positive
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Energy,Not Specified,Not Specified,1,2,2,1,1,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Doctorate,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Others,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Three-year degree,Defence,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,1,2,2,2,3,2,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,3,2,3,3,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Scientific Field,Doctorate,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
20 - 25 ,Male 20 - 25 Italian,Male,Engineering,Three-year degree,Others,Engineering,Junior Consultant,2,2,2,3,3,3,Yes,Yes,Positive
40 - 45 ,Male 40 - 45 Italian,Male,Engineering,Five-year degree,Railway,Not Specified,Not Specified,3,2,3,3,1,2,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Railway,Not Specified,Not Specified,3,2,3,2,1,2,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Scientific Field,Five-year degree,Railway,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Railway,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
< 20 ,Female < 20 Italian,Female,Engineering,Professional qualification,Space,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,3,2,2,2,3,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Scientific Field,Five-year degree,Oil and Gas,Not Specified,Not Specified,1,2,2,2,1,2,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Space,Not Specified,Not Specified,3,3,3,3,2,3,Yes,Yes,Positive
36 - 40 ,Female 36 - 40 Italian,Female,Scientific Field,Five-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Oil and Gas,Engineering,Junior Consultant,2,2,2,3,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,3,1,2,3,3,Yes,Yes,Negative
< 20 ,Female < 20 Italian,Female,Engineering,master's degree,Aeronautics,Not Specified,Not Specified,3,3,3,3,2,3,Yes,Yes,Negative
> 45 ,Male > 45 Italian,Male,Engineering,Three-year degree,Services and Information Systems,Not Specified,Not Specified,2,2,3,2,3,2,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,3,2,2,1,3,Yes,Yes,Positive
< 20 ,Male < 20 Italian,Male,Other Humanities Subjects,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
36 - 40 ,Female 36 - 40 Italian,Female,Scientific Field,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Other,Three-year degree,Others,Not Specified,Not Specified,3,3,2,3,1,2,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,3,2,3,2,2,3,Yes,Yes,Positive
> 45 ,Male > 45 Italian,Male,Engineering,Five-year degree,Defence,Not Specified,Not Specified,2,2,2,2,1,1,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Other,High school graduation,Consulting,Not Specified,Not Specified,2,2,1,1,1,2,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
40 - 45 ,Male 40 - 45 Italian,Male,Engineering,Three-year degree,Aeronautics,Not Specified,Not Specified,3,1,2,2,1,1,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
36 - 40 ,Female 36 - 40 Italian,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
20 - 25 ,Male 20 - 25 Italian,Male,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Life sciences,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Life sciences,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,3,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,1,1,2,1,1,3,Yes,Yes,Negative
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Life sciences,Not Specified,Not Specified,2,2,2,3,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,1,2,2,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
